0.126871474	0.064231811	0.052739304	0.015166748
0.132840079	0.069918135	0.06014919	0.015712513
0.02434423	0.014487922	0.014120786	0.002774037
0.003529523	0.001831437	0.001549557	0.000419131
0.083751665	0.049931305	0.048743346	0.009537981
0.008010773	0.004055539	0.003329797	0.000957648
0.008059266	0.004775255	0.004635837	0.000919682
0.002672475	0.001353084	0.001111067	0.000319474
0.038822034	0.020213547	0.017171854	0.004605761
0.001994303	0.001182364	0.001148464	0.000227535
0.005341458	0.002704219	0.002220347	0.000638542
0.034719396	0.017577378	0.014432215	0.004150513
