0.036881018	0.0253557	0.009220255	0.008067723	0.002305064	0.002305064	0.000576266	0.002305064
0.110643055	0.0760671	0.023050636	0.020169307	0.006915191	0.002305064	0.002305064	0.004610127
0.072609505	0.072609505	0.006915191	0.009220255	0.016135446	0.00017288	0.006915191	0.009220255
0.006915191	0.020745573	0.003457595	0.00017288	0.010372786	5.76266E-05	0.000115253	0.000115253
0.043796209	0.089897482	0.023050636	0.011525318	0.027660764	0.000115253	0.005762659	0.008067723
0.032270891	0.021898105	0.004610127	0.004610127	0.004610127	0.001728798	0.00288133	0.004610127
0.020745573	0.020745573	0.002305064	0.000230506	0.004610127	5.76266E-05	0.004610127	0.000230506
0.001728798	0.036304752	0.013830382	0.003457595	0.013830382	5.76266E-05	0.000576266	0.001728798
0.005186393	0.002305064	0.000576266	0.000230506	5.76266E-05	5.76266E-05	5.76266E-05	5.76266E-06
0.003457595	0.00288133	0.001152532	0.001152532	0.000576266	1.73E-04	0.000576266	0.000576266
